comments,contain_gender_bias,bias,hate,english
40대 아줌마 지들 자식들은 피씨방에 있고 엄마들은 방탄 동영상 처보고 있다고 생각해봐라 그래놓고 경포대 문재인 아몰랑 지지하고 어후 토나와,FALSE,others,hate,"Just imagine, women in their 40s, their children are in a PC room and their mothers are watching bulletproof videos. Then, they support Moon Jae-in at Gyeongpodae University and come to Tonawa."
40대 아줌마들 댓글비율좀봐....,TRUE,gender,offensive,Look at the comment ratio of ladies in their 40s....
40대 여자들이 나이값못하고 현빈 멋있다고 하악하악 거리는거 개극혐ㅋㅋㅋㅋ당신들의 튀어나온 뱃살과 흉측한 얼굴을보고 반성하길바람^^;;;,TRUE,gender,hate,It's disgusting to see women in their 40s making fun of Hyun Bin for his age and saying he's cool. I hope you reflect on your protruding belly fat and ugly face^^;;;
40대 이모라 집중이 안됨... 20살 초반으로좀 캐스팅좀 ㅠㅜㅠㅜ,TRUE,gender,offensive,I can't concentrate because I'm in my 40s... Please cast someone in their early 20s ㅠㅜㅠㅜ
40대늙은이 32% 돌아이련들...쯧쯧쯧,TRUE,gender,hate,32% of people in their 40s are idiots... tsk tsk tsk
40살에 폐경에 다리까지 노답이라이 ㅋㅋㅋ,TRUE,gender,hate,"I'm 40 years old, going through menopause, and even my legs are worn out haha."
40살여자랑 로맨스 ㅋㅋ별로다,FALSE,others,offensive,Romance with a 40-year-old woman is not good.
40세 이상 한녀들은 임신도 못하는 사실상 쓸모없는 분리수거 대상,TRUE,gender,hate,Korean women over 40 years old are virtually useless as they cannot get pregnant and are subject to separate collection.
40이다 상관 없다는 넘들 애들이군,FALSE,others,offensive,These people say it doesn't matter if they are 40.
43.1 이라 .. 행복해서 살쪘다는걸 보여주고싶은건가? 아니면 임...신?,TRUE,gender,offensive,43.1.. Do you want to show that you gained weight because you are happy? Or pregnant... pregnant?
45가 정상인가? 애들이 따라할까 무섭다,FALSE,others,offensive,Is 45 normal? I'm scared that the kids will follow suit.
"45억 빚진것도 신기하고, 그 빚을 이미 완전 인기가 저물어도 몇년만에 갚는다는게 더 신기하다. 그러면 홍진영 이런애들은 1년에 얼마 번다는거야 ㅋㅋ",FALSE,none,none,"It's amazing that he owes 4.5 billion won, and it's even more amazing that he pays off that debt in just a few years even though his popularity has already waned. So how much do people like Hong Jin-young make in a year?"
47kg면 내 몸무겐데 난 소멸되겠다.ㅎㅎ,FALSE,none,none,"If 47kg is my weight, I will disappear. Haha."
47살에 출산?,FALSE,others,offensive,Giving birth at 47?
4년전정준영카톡이 이게 이렇게 큰일이냐?ㅋ 더럽네정말.. 누가봐도 꼬리짜르기구만,TRUE,gender,offensive,"Is Jung Jun-young’s KakaoTalk from 4 years ago such a big deal? Haha, it’s really dirty.. Anyone can see that it’s a joke."
4억 장윤정에게는 껌값일텐데 비정한딸,FALSE,others,offensive,"400 million won would be the price of gum for Jang Yoon-jeong, but she is a heartless daughter."
52도 빼야되냐,FALSE,none,none,Should I lose 52 degrees?
52면 날씬한건데..,FALSE,others,none,"If you're 52, you're slim..."
52키로 딱 좋앙~~~,FALSE,none,none,52 kg is just right~~~
52퍼 되는 여자들 강한나 테러하네 ㅋㅋ 그만들 하세요 님들 너무 추해 보임,TRUE,gender,hate,52% women Kang Han-na are terrorizing haha ​​stop it you guys look so ugly
53살 아빠면 어때 아빠가 곽부성인데.... 축하해요,FALSE,none,none,How about a 53-year-old dad? My dad is Kwak Bu-seong... congratulations.
5명이랑 관계하면 거기 아플텐데... 누구말이 맞는건지.. 에휴,TRUE,gender,offensive,"If you're in a relationship with 5 people, it's going to hurt... I don't know who's right... Ugh."
"60만원으로 무슨 5억 피해입은 마냥 폭로하는 놈도 그렇고, 60만원을 안 갚고 쌩깠던 매니저 놈도 그렇고.. 참 안습이다.. 인간들 요즘 왜 그런지 참 ㅉㅉ... 신상털기, 먼지털기가 인생 낙인갑다..",FALSE,none,none,"The guy who exposes it as if he suffered 500 million won in damages with 600,000 won, and the manager who didn't pay back the 600,000 won and got away with it... It's really sad... I really wonder why people are like that these days... Doxxing and dusting are stigmas in life..."
60에서 14면티가나는데 120에서 14면 흠,FALSE,none,none,"It looks like 14 out of 60, but it's 14 out of 120."
68%의 아줌마들아. 니들 자식들한테 고운말 하라고 가르치냐? 니들 댓글 모음이나 자식들 보여줘라,TRUE,gender,offensive,68% of the ladies. Are you teaching your children to speak kind words? Show me your collection of comments and your children.
6명이서 그깟 20년 한거가지고 참 ㅋㅋㅋㅋㅋㅋㅋㅋ강필주는 혼자 20년 기다리고 참아왔다..,FALSE,none,offensive,"There were 6 of us who did that for 20 years, so haha. Kang Pil-ju waited and endured it for 20 years alone.."
6명전부 별론데 그나마 저중에 문희준이 제일 인기많았고 돈 많이 벌었고,FALSE,none,offensive,"All 6 people were good, but Moon Hee-jun was the most popular and made a lot of money."
6월 29일 전미선에 이어 7월 31일 박일 성우님... 올해 몇번째 연예계 비보가 내려오는 거죠?,FALSE,none,none,"Following Jeon Mi-seon on June 29th, voice actor Park Il on July 31st... How many entertainment industry news comes out this year?"
75% 여성비율 30대 37% ㅎㄷㄷ 능력있는 한국남성분들 국제결혼이 답입니다. 일본여자 노려보세요,TRUE,gender,offensive,"75% female ratio, 37% in their 30s ㄷㄷ International marriage is the answer for talented Korean men. Try targeting Japanese women"
79년생 하하 아직도 초딩캐릭터 아냐? 김종민도 그렇고 어른 이미지로 가는거 별로 안좋아할텐데,FALSE,others,none,"Haha, born in 1979, aren’t you still an elementary school character? Kim Jong-min, too, probably wouldn't like to go with an adult image."
82년생김지영이는 못나오나보네 ㅋㅋㅋㅋ,TRUE,gender,offensive,"Looks like Kim Ji-young, born in 1982, can't come out lol."
82키로 김지영 왜보냐...? 저런 쓰레기 영화 안봄 ㅋ,TRUE,gender,hate,Why are you looking at Kim Ji-young at 82 kg...? I don't watch trash movies like that.
90년대일을 이제와서 웨꺼내구 그러시는지 사실맞는지두 확인안되구 참,FALSE,none,none,I can't confirm if it's true that you're talking about the 90's now.
9살 딸이 지금까지 본 주말 드라마 중에 제일 재미없어!!하고 끄고 양치하고 잠.. 새나라의 어린이로 만들어주는 드리마.. 최수종배우님 죄송ㅜㅜ,FALSE,none,offensive,"My 9-year-old daughter said, “This is the most boring weekend drama I’ve ever seen!!” So ​​I turned it off, brushed my teeth, and went to sleep.. A dream that will make you a child of a new country.. Sorry, actor Soo-jong Choi."
? 대세배우 ?,FALSE,none,none,? Popular actor?
? 여태껏 동거한거에요?,FALSE,others,offensive,? Have you been living together ever since?
???그냥 눈화장 색이 변한거 같은데.. 뭐가 달라진거죠??톤만 좀 연해진거 같은데..,FALSE,none,none,???I think the color of my eye makeup has changed.. What has changed?? I think the tone has become a bit lighter..
B급 가수.. 가수라 하기도 애매하다,FALSE,none,offensive,A B-level singer. It’s difficult to even call him a singer.
Edm 천재 박명.수,FALSE,none,none,Edm genius Park Myeong.soo
Ft아일랜드 이홍기 원맨쇼지 ㅋㅋㅋ 나머지 멤버 무쓸모,FALSE,none,offensive,Ft Island Lee Hongki is a one man show haha ​​the rest of the members are useless
HOT 팬들은 사람죽일 정도로 극성이였다든데,FALSE,others,hate,I heard HOT fans were so polarizing that they killed people.
JTBC 는 좌빨 방송인데. 이래서 여자들이 문재앙 좋아하나?,TRUE,gender,hate,JTBC is a leftist broadcast. Is this why women like Moon Jae-ang?
JTBC 드라마는 기대가 하나도 안됨. 본적도 없어. TVN에서 만들면 모를까,FALSE,others,offensive,I have no expectations at all for the JTBC drama. I've never seen it before. I wonder if TVN makes it
JYP에서 연습생 한 3년은 해라,FALSE,none,none,Be a trainee at JYP for 3 years
KBS 주말극은 한번씩 꿀잼 노잼 하는것 같다 황금빛 보다가 이건 못보겠다 연기들이 너무 발연기다,FALSE,others,offensive,KBS weekend dramas seem to be fun and boring once in a while. I can't watch this after watching Golden Light. The acting is so off-putting.
KBS 주말드라마 인가요?,FALSE,none,none,Is this a KBS weekend drama?
KBS에서 이영자한테 대상준게 이해안됨 안녕하세요 시창률도 그닥인데 차라리 이동국을 주지 왜!,FALSE,others,offensive,"I don't understand why KBS gave the grand prize to Lee Young-ja. Hello, the sight-reading rate is not that good, so why give Lee Dong-gook instead!"
M&A전문가란 직업이 있어요?^^PF금융업억 종사하는데 저런 직업은 처음.ㅋ,FALSE,none,none,"Is there a job called an M&A expert?^^I work in the PF financial industry, but this is my first job like that. Haha."
Mbc 주말 드라마 다시했으면 ㅠㅠ,FALSE,none,none,I wish MBC would do weekend dramas again ㅠㅠ
Metoo운동은 무슨 얼어죽을... 마녀사냥이지...youtoo운동으로 대항해야함,TRUE,gender,hate,The Metoo movement is nothing but a witch hunt... It must be countered by the youtoo movement.
No no japan!!! 필요없다,FALSE,others,hate,No no japan!!! no need
OOO 조개갖고 개ㅈㄹ하는 태콩이나 개촐싹대는조샌징들이나 ㅈㄴ웃김ㅋㅋㅋ,TRUE,gender,hate,OOO Taekong who fucks with seashells and those sandals who make a fuss are so fucking funny haha.
OOO들 모임이네. 뉴스에1분도 못나오는 뒷방3류아나라 잃을것도업시 친문좌파 방송국설립하려고 아나퇴사하고 개쌉친아나들. 와꾸만 번지르하고 속은맘충들과동급. 소신지키고 아나로서 소명을다한 배현진이 새삼 이쁘다,FALSE,others,hate,"It's a gathering of OOOs. These are third-rate backroom Anas who can't appear on the news for even a minute. They quit Ana to set up a pro-Moon leftist broadcasting station without anything to lose. They are on the same level as those who show off and are deceived. Bae Hyun-jin, who kept her convictions and fulfilled her calling as Ana, is once again pretty."
OOO옆에는 OOO들이침흘리면서 있다는걸 모르는뇬들이 있네..무조건 남자혐오증 걸리지말고연예인. 인기인이라면 빤쯔흘리는뇬들이 얼마나 많은지 모르나...,TRUE,gender,hate,"There are people next to OOO who don't know that there are OOOs drooling... Don't get misogynistic and become a celebrity. If you're a popular person, don't you know how many people make fun of you..."
OOO이라서 그런지 울때 표정이 안찡그려지는듯,FALSE,others,offensive,"Maybe it's because it's OOO, but my face doesn't frown when I cry."
SBS뉴스는 연예가중계냐? 연예인 아니면 기사 쓸거 없어?,FALSE,none,none,"Is SBS News an entertainment broadcast? If you're not a celebrity, there's nothing to write about, right?"
SE$ 아닌가요 이제 Sea Eugene $hoo,FALSE,none,hate,Isn’t it SE$ now Sea Eugene $hoo
SM에 핍박 당하고 여기서 다 끝났다고 생각하십니까? 인생은 항상 반전이 있습니다 무죄로 밝혀지면 이제는 배우로 열심히 활동하면 됩니다!,FALSE,none,none,"Do you think it's over after being persecuted by SM? Life always has a twist. If you are found not guilty, all you have to do now is work hard as an actor!"
SNS올리는 건 문제 아닌데 이걸 기사로 만들어진다는 게 문제 아닐까?ㅋㅋ,FALSE,none,none,"Posting it on social media isn’t the problem, but isn’t the problem being made into an article? Haha."
TV조선이 띄어줬는데 당연줘야한다고보고 희트곡하나없는데 아무리 그래도행사비를이렇게많이 받다니 이런다 훅갑니다,FALSE,others,offensive,"TV Chosun aired it, but they thought it was a given and they didn't have a single hit song, but they were still charging so much for the event. I was shocked."
X 쳤으면 다야???? ㅋㅋㅋㅋㅋㅋㅋㅋ 방송에서 저딴 식으로 표현하는건 문제 있다고 생각하는데. 그리고 몰카범죄룰 우려하는 메세지를 쓸 거 였으면 다르게 표현할 방법이 충분히 많았다. 제발 일차원적으로 생각하지 마세요 좀,FALSE,none,offensive,"If you hit Hahaha, I think there is a problem with expressing it that way on broadcast. And if I was going to write a message about concerns about hidden camera crimes, there were plenty of ways to express it differently. Please don't think one-dimensionally."
X1의 인기나 인지도는.. 워너원의 1/20도 안될것같습니다..멤버들이.. 매력이 없어요..,FALSE,none,offensive,I don’t think X1’s popularity or recognition is even 1/20th of Wanna One. The members are not attractive.
Xx같은 한국 x 같은법 이라는 승리놈하고 클럽 뭐 어쩌고 관련잇던애 아니엇나? 그런데 얼쩡거리고 드나들던애들 연예계 방송가에서 퇴출하지? 여자연예인들이 인물이 그리도 없어? 내가 추천 좀해주까?,FALSE,none,hate,"Wasn't he related to the club or something with Seungri, the guy from Korea like X? But won’t those who wander around in and out of the entertainment industry get kicked out of the entertainment industry? Do female celebrities have so few personalities? Can I make a recommendation?"
YG 제국 부활하자 빅뱅 컴백해서 방탄 밟자!,FALSE,none,offensive,"Let’s revive YG’s empire, let’s make Big Bang’s comeback and step on Bangtan!"
